player_non_penalti_goals,home_team,away_team,home_team_goals,minutes_played,status,picas_as,player_red_card,player_second_yellow,player_position,player_penalti_goals,player,is_player_home,puntuacion_media_sofascore_as,sofascore_score,player_assists,date,season,league_round,player_price,away_team_goals,fixed_round
0,rayo-vallecano,leganes,,0.0,ok,,0,0,2,0,a-catena,True,0.0,,0,1549310400,2019,,,,22
0,espanyol,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1549733400,2019,,,,23
0,rayo-vallecano,atletico,,0.0,ok,,0,0,2,0,a-catena,True,0.0,,0,1550330100,2019,,,,24
0,getafe,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1550923200,2019,,,,25
0,rayo-vallecano,girona,,0.0,ok,,0,0,2,0,a-catena,True,0.0,,0,1551470400,2019,,,,26
0,barcelona,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1552152600,2019,,,,27
0,villarreal,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1552843800,2019,,,,28
0,rayo-vallecano,betis,,0.0,ok,,0,0,2,0,a-catena,True,0.0,,0,1554033600,2019,,,,29
0,eibar,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1554316200,2019,,,,30
0,rayo-vallecano,valencia,,0.0,ok,,0,0,2,0,a-catena,True,0.0,,0,1554568200,2019,,,,31
0,athletic,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1555243200,2019,,,,32
0,rayo-vallecano,sd-huesca,,0.0,ok,,0,0,2,0,a-catena,True,0.0,,0,1555777800,2019,,,,33
0,sevilla,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1556213400,2019,,,,34
0,rayo-vallecano,real-madrid,,0.0,ok,,0,0,2,0,a-catena,True,0.0,,0,1556477100,2019,,,,35
0,levante,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1556967600,2019,,,,36
0,rayo-vallecano,real-valladolid,1.0,87.0,,2.0,0,0,2,0,a-catena,True,7.0,7.6,0,1557678600,2019,37.0,150000.0,2.0,37
0,celta,rayo-vallecano,2.0,90.0,,1.0,0,0,2,0,a-catena,False,2.0,6.4,0,1558205100,2019,38.0,150000.0,2.0,38
0,sevilla,rayo-vallecano,3.0,90.0,,2.0,0,0,2,0,a-catena,False,5.0,6.6,0,1629058500,2022,1.0,2400000.0,0.0,1
0,real-sociedad,rayo-vallecano,1.0,90.0,,1.0,0,0,2,0,a-catena,False,4.0,7.1,0,1629644400,2022,2.0,2530000.0,0.0,2
0,rayo-vallecano,granada,4.0,90.0,,2.0,0,0,2,0,a-catena,True,7.0,7.5,0,1630258200,2022,3.0,2510000.0,0.0,3
0,levante,rayo-vallecano,1.0,90.0,,1.0,0,0,2,0,a-catena,False,3.0,6.9,0,1631377800,2022,4.0,2710000.0,1.0,4
0,rayo-vallecano,getafe,3.0,90.0,,2.0,0,0,2,0,a-catena,True,8.0,7.7,1,1631966400,2022,5.0,2640000.0,0.0,5
0,athletic,rayo-vallecano,1.0,90.0,,2.0,0,0,2,0,a-catena,False,7.0,7.4,0,1632254400,2022,6.0,2770000.0,2.0,6
0,rayo-vallecano,cadiz,3.0,90.0,,2.0,0,0,2,0,a-catena,True,5.0,6.7,0,1632673800,2022,7.0,3200000.0,1.0,7
0,osasuna,rayo-vallecano,1.0,90.0,,1.0,0,0,2,0,a-catena,False,4.0,7.2,0,1633176000,2022,8.0,3520000.0,0.0,8
0,rayo-vallecano,elche,2.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.7,0,1634472000,2022,9.0,3730000.0,1.0,9
0,betis,rayo-vallecano,3.0,90.0,,2.0,0,0,2,0,a-catena,False,4.0,6.5,0,1635093000,2022,10.0,3630000.0,2.0,10
0,rayo-vallecano,barcelona,1.0,90.0,,2.0,0,0,2,0,a-catena,True,5.0,6.9,0,1635354000,2022,11.0,3650000.0,0.0,11
0,rayo-vallecano,celta,0.0,90.0,,2.0,0,0,2,0,a-catena,True,6.0,7.2,0,1635787800,2022,12.0,3800000.0,0.0,12
0,real-madrid,rayo-vallecano,2.0,90.0,,1.0,0,0,2,0,a-catena,False,2.0,6.5,0,1636228800,2022,13.0,3990000.0,1.0,13
0,rayo-vallecano,mallorca,3.0,90.0,,2.0,0,0,2,0,a-catena,True,5.0,6.9,0,1637611200,2022,14.0,4060000.0,1.0,14
0,valencia,rayo-vallecano,1.0,90.0,,2.0,0,0,2,0,a-catena,False,5.0,6.9,0,1638026100,2022,15.0,4140000.0,1.0,15
0,rayo-vallecano,espanyol,1.0,90.0,,2.0,0,0,2,0,a-catena,True,6.0,7.2,0,1638709200,2022,16.0,4400000.0,0.0,16
0,villarreal,rayo-vallecano,2.0,90.0,,0.0,0,0,2,0,a-catena,False,0.0,6.5,0,1639314000,2022,17.0,4680000.0,0.0,17
1,rayo-vallecano,alaves,2.0,90.0,,3.0,0,0,2,0,a-catena,True,14.0,7.5,0,1639832400,2022,18.0,4770000.0,0.0,18
0,atletico,rayo-vallecano,,0.0,doubt,,0,0,2,0,a-catena,False,0.0,,0,1641136500,2022,,,,19
0,rayo-vallecano,betis,1.0,90.0,,1.0,0,0,2,0,a-catena,True,4.0,7.0,0,1641733200,2022,20.0,5120000.0,1.0,20
0,rayo-vallecano,athletic,0.0,90.0,,1.0,0,0,2,0,a-catena,True,4.0,7.1,0,1642959000,2022,22.0,5190000.0,1.0,21
0,celta,rayo-vallecano,2.0,90.0,,1.0,0,0,2,0,a-catena,False,5.0,7.4,0,1644082200,2022,23.0,4810000.0,0.0,22
0,rayo-vallecano,osasuna,0.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.6,0,1644687000,2022,24.0,4640000.0,3.0,23
0,elche,rayo-vallecano,2.0,90.0,,1.0,0,0,2,0,a-catena,False,1.0,6.0,0,1645214400,2022,25.0,4400000.0,1.0,24
0,rayo-vallecano,real-madrid,0.0,90.0,,1.0,0,0,2,0,a-catena,True,4.0,7.2,0,1645896600,2022,26.0,3980000.0,1.0,25
0,cadiz,rayo-vallecano,,0.0,sanctioned,,0,0,2,0,a-catena,False,0.0,,0,1646571600,2022,,,,26
0,rayo-vallecano,sevilla,1.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.8,0,1647176400,2022,28.0,3520000.0,1.0,27
0,rayo-vallecano,atletico,0.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.9,0,1647720000,2022,29.0,3430000.0,1.0,28
1,granada,rayo-vallecano,2.0,90.0,,2.0,0,0,2,0,a-catena,False,12.0,7.7,0,1649003400,2022,30.0,3080000.0,2.0,29
0,rayo-vallecano,valencia,1.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.8,0,1649703600,2022,31.0,3190000.0,1.0,30
0,alaves,rayo-vallecano,1.0,90.0,,1.0,0,0,2,0,a-catena,False,4.0,7.0,0,1650118500,2022,32.0,3250000.0,0.0,31
0,espanyol,rayo-vallecano,0.0,90.0,,1.0,0,0,2,0,a-catena,False,5.0,7.4,1,1650560400,2022,33.0,3320000.0,1.0,32
0,barcelona,rayo-vallecano,0.0,90.0,,2.0,0,0,2,0,a-catena,False,7.0,7.6,0,1650826800,2022,21.0,3370000.0,1.0,33
0,rayo-vallecano,real-sociedad,1.0,90.0,,1.0,0,0,2,0,a-catena,True,4.0,7.0,0,1651422600,2022,34.0,3560000.0,1.0,34
0,getafe,rayo-vallecano,0.0,90.0,,2.0,0,0,2,0,a-catena,False,7.0,7.5,0,1652011200,2022,35.0,3710000.0,0.0,35
0,rayo-vallecano,villarreal,1.0,90.0,,1.0,0,0,2,0,a-catena,True,1.0,6.0,0,1652378400,2022,36.0,3890000.0,5.0,36
0,mallorca,rayo-vallecano,2.0,90.0,,1.0,0,0,2,0,a-catena,False,3.0,6.6,0,1652635800,2022,37.0,3990000.0,1.0,37
0,rayo-vallecano,levante,2.0,90.0,,1.0,0,0,2,0,a-catena,True,4.0,7.0,0,1653073200,2022,38.0,4160000.0,4.0,38
0,barcelona,rayo-vallecano,0.0,90.0,,3.0,0,0,2,0,a-catena,False,8.0,7.2,0,1660417200,2023,1.0,3840000.0,0.0,1
0,espanyol,rayo-vallecano,0.0,90.0,,2.0,0,0,2,0,a-catena,False,6.0,7.1,0,1660932000,2023,2.0,4050000.0,2.0,2
0,rayo-vallecano,mallorca,0.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.7,0,1661621400,2023,3.0,4440000.0,2.0,3
0,osasuna,rayo-vallecano,2.0,90.0,,1.0,0,0,2,0,a-catena,False,5.0,7.6,0,1662292800,2023,4.0,4450000.0,1.0,4
0,rayo-vallecano,valencia,2.0,90.0,,2.0,0,0,2,0,a-catena,True,6.0,7.3,0,1662811200,2023,5.0,4290000.0,1.0,5
0,athletic,rayo-vallecano,3.0,90.0,,1.0,0,0,2,0,a-catena,False,1.0,5.9,0,1663441200,2023,6.0,4410000.0,2.0,6
0,rayo-vallecano,elche,2.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.8,0,1664823600,2023,7.0,3770000.0,1.0,7
1,almeria,rayo-vallecano,3.0,90.0,,1.0,0,0,2,0,a-catena,False,9.0,7.2,0,1665230400,2023,8.0,3570000.0,1.0,8
0,rayo-vallecano,getafe,0.0,90.0,,1.0,0,0,2,0,a-catena,True,4.0,7.2,0,1665774000,2023,9.0,3640000.0,0.0,9
0,atletico,rayo-vallecano,1.0,90.0,,1.0,0,0,2,0,a-catena,False,3.0,6.6,0,1666119600,2023,10.0,3690000.0,1.0,10
0,rayo-vallecano,cadiz,5.0,90.0,,2.0,0,0,2,0,a-catena,True,7.0,7.3,1,1666440000,2023,11.0,3740000.0,1.0,11
0,sevilla,rayo-vallecano,0.0,90.0,,2.0,0,0,2,0,a-catena,False,6.0,7.2,0,1667061000,2023,12.0,3910000.0,1.0,12
0,rayo-vallecano,real-madrid,3.0,90.0,,2.0,0,0,2,0,a-catena,True,4.0,6.2,0,1667851200,2023,13.0,4420000.0,2.0,13
0,rayo-vallecano,celta,0.0,90.0,,1.0,0,0,2,0,a-catena,True,5.0,7.4,0,1668103200,2023,14.0,4550000.0,0.0,14
0,girona,rayo-vallecano,,0.0,ok,,0,0,2,0,a-catena,False,0.0,,0,1672329600,2023,,,,15
0,rayo-vallecano,betis,1.0,90.0,,1.0,0,0,2,0,a-catena,True,4.0,7.1,0,1673190900,2023,16.0,3430000.0,2.0,16
0,real-valladolid,rayo-vallecano,0.0,90.0,,2.0,0,0,2,0,a-catena,False,6.0,7.1,0,1673701200,2023,17.0,3530000.0,1.0,17
0,rayo-vallecano,real-sociedad,0.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.8,0,1674306000,2023,18.0,3710000.0,2.0,18
0,villarreal,rayo-vallecano,0.0,90.0,,2.0,0,0,2,0,a-catena,False,7.0,7.5,0,1675108800,2023,19.0,3800000.0,1.0,19
0,rayo-vallecano,almeria,2.0,90.0,,2.0,0,0,2,0,a-catena,True,7.0,7.5,0,1675713600,2023,20.0,4020000.0,0.0,20
0,getafe,rayo-vallecano,1.0,90.0,,2.0,0,0,2,0,a-catena,False,6.0,7.3,0,1676206800,2023,21.0,4470000.0,1.0,21
0,rayo-vallecano,sevilla,1.0,90.0,,1.0,0,0,2,0,a-catena,True,3.0,6.7,0,1676819700,2023,22.0,4970000.0,1.0,22
